Dataset,Seed,Model,Accuracy,Precision,Recall,F1-score,Training Time Diagnostic (s),Inference Time Diagnostic (s),Train Samples,Test Samples,Feature Count,Warnings
ToN_IoT,42,Decision Tree,0.9989101850316283,0.9995340601994223,0.9990375360923965,0.9992857364678116,6.646216499968432,0.10860491602215916,168834,42209,973,
ToN_IoT,42,Logistic Regression,0.7701201165628183,0.8039051528572971,0.9241826818591077,0.8598581683204067,62.205487000057474,0.3853120830608532,168834,42209,973,
ToN_IoT,42,Naive Bayes,0.23859840318415504,0.9733333333333334,0.00226644726629203,0.00452236401932846,9.499646084033884,0.5356241250410676,168834,42209,973,
ToN_IoT,42,Random Forest,0.9991471013291005,0.9991002451056437,0.9997826694402185,0.9994413407821229,14.367902041994967,0.19439770898316056,168834,42209,973,
ToN_IoT,43,Decision Tree,0.9991234096993532,0.9994101210804098,0.9994411499891335,0.999425635293935,6.391411166987382,0.09083716699387878,168834,42209,973,
ToN_IoT,43,Logistic Regression,0.7609988391101424,0.8205105914399142,0.8791021143158745,0.8487964267514014,39.79215491609648,0.4909585830755532,168834,42209,973,
ToN_IoT,43,Naive Bayes,0.23750858821578336,0.7906976744186046,0.0010556055760812194,0.0021083963785191616,8.768454458098859,0.5654987080488354,168834,42209,973,
ToN_IoT,43,Random Forest,0.9994077092563197,0.9994723446520578,0.9997516222173927,0.9996119639281668,25.547953374916688,0.21706345805432647,168834,42209,973,
ToN_IoT,44,Decision Tree,0.9990286431803643,0.9992240362530262,0.9995032444347853,0.9993636208421935,6.347518000053242,0.08249587495811284,168834,42209,973,
ToN_IoT,44,Logistic Regression,0.7875808476865124,0.8076505625413634,0.947219721195939,0.8718850022862369,43.29009637492709,0.3282537090126425,168834,42209,973,
ToN_IoT,44,Naive Bayes,0.23767442962401383,0.8076923076923077,0.0013039833586885653,0.002603763057561762,8.458433207939379,0.48287979199085385,168834,42209,973,
ToN_IoT,44,Random Forest,0.9993366343670781,0.9991933732510161,0.9999379055543481,0.9995655007603736,12.629385166917928,0.1749908330384642,168834,42209,973,
